Latitude	Longitude
31.706222	-106.279946
31.706387	-106.279798
31.706547	-106.279651
31.706706	-106.279504
31.706863	-106.279359
31.70702	-106.279215
31.707179	-106.279071
31.707339	-106.278927
31.707498	-106.27878
31.707655	-106.278635
31.707814	-106.278491
31.707969	-106.278345
31.708125	-106.278198
31.708282	-106.27805
31.708437	-106.277905
31.708596	-106.277757
31.708751	-106.277611
31.708904	-106.277467
31.709056	-106.277321
31.709211	-106.277174
31.70937	-106.277029
31.709524	-106.276885
31.709683	-106.276739
31.709843	-106.276595
31.710002	-106.276452
31.71016	-106.276308
31.710317	-106.276164
31.710472	-106.276018
31.710629	-106.275871
31.710782	-106.275727
31.710937	-106.275581
31.711095	-106.275435
31.711255	-106.275288
31.711414	-106.275143
31.711574	-106.274993
31.711736	-106.274843
31.711902	-106.274697
31.712066	-106.274549
31.712232	-106.274397
31.712398	-106.274249
31.712564	-106.274098
31.712725	-106.273945
31.712897	-106.273793
31.713072	-106.273642
31.713243	-106.27349
31.713413	-106.273338
31.713589	-106.273179
31.713763	-106.273022
31.713932	-106.272864
31.714112	-106.272706
31.714286	-106.272551
31.714463	-106.272393
31.714641	-106.272233
31.714825	-106.272073
31.715003	-106.271911
31.71518	-106.271748
31.715351	-106.271582
31.715525	-106.271419
31.7157	-106.271255
31.715877	-106.271093
31.71605	-106.270931
31.716225	-106.270772
31.716397	-106.270615
31.716565	-106.270461
31.716736	-106.270309
31.716907	-106.270159
31.717079	-106.27001
31.717253	-106.269865
31.717428	-106.269724
31.717605	-106.269586
31.717781	-106.269455
31.71796	-106.269326
31.718136	-106.269203
31.718314	-106.269084
31.718494	-106.268966
31.718677	-106.268854
31.718858	-106.268748
31.719038	-106.268643
31.71922	-106.268543
31.719397	-106.268445
31.719576	-106.268351
31.719754	-106.26826
31.719941	-106.268179
31.720131	-106.268095
31.720323	-106.268014
31.720519	-106.267937
31.720722	-106.267865
31.720922	-106.267794
31.721122	-106.267728
31.721325	-106.267666
31.72153	-106.267602
